Detector Pos. (mm),Intensity (V)
0,0.052
1,0.043
2,0.013
3,-0.015
4,0.004
5,0.14
6,0.47
7,1
8,1.8
9,2.8
10,3.8
11,4.8
12,5.4
13,5.6
14,5.4
15,4.7
16,3.8
17,2.8
18,1.8
19,1
20,0.44
21,0.12
22,-0.005
23,-0.014
24,0.002
25,0.054
26,0.061
27,0.043
0,0.054
1,0.044
2,0.014
3,-0.014
4,0.008
5,0.15
6,0.5
7,1.1
8,1.9
9,2.9
10,4
11,4.9
12,5.5
13,5.8
14,5.4
15,4.8
16,3.8
17,2.8
18,1.8
19,1
20,0.43
21,0.11
22,-0.08
23,-0.014
24,0.025
25,0.057
26,0.063
27,0.044
0,0.053
1,0.051
2,0.024
3,-0.01
4,-0.008
5,0.1
6,0.39
7,0.92
8,1.7
9,2.7
10,3.8
11,4.8
12,5.5
13,5.8
14,5.7
15,5.1
16,4.2
17,3.1
18,2
19,1.2
20,0.8
21,0.16
22,0.003
23,-0.018
24,0.02
25,0.058
26,0.07
27,0.055
0,0.045
1,0.041
2,0.016
3,-0.015
4,-0.008
5,0.1
6,0.38
7,0.89
8,1.6
9,2.5
10,3.5
11,4.4
12,5.1
13,5.4
14,5.3
15,4.8
16,3.9
17,2.9
18,1.9
19,1.1
20,0.5
21,0.16
22,0.004
23,-0.02
24,0.11
25,0.046
26,0.057
27,0.043
